product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,Fit,Composition,Material
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,024,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,024,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,028,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,028,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,035,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,035,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,036,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,036,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,040,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,040,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,043,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,043,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,046,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,046,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,051,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,051,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,056,Skinny fit,Lining: Polyester 100%,keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,056,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,022,Skinny fit,"Cotton 98%, Spandex 2%",Denim
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,043,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449043,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,043,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,002,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,002,Slim fit,"Shell: Cotton 99%, Spandex 1%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,003,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,003,Slim fit,"Shell: Cotton 99%, Spandex 1%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,004,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,004,Slim fit,"Shell: Cotton 99%, Spandex 1%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,005,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,005,Slim fit,"Shell: Cotton 99%, Spandex 1%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,006,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,006,Slim fit,"Shell: Cotton 99%, Spandex 1%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,007,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
